Vehicle_ID,Brand,Model,Year,Battery_Capacity_kWh,Range_km,Charging_Time_hr,Efficiency_km_per_kWh,Price_India
1,Tesla,Model S,2023,100,652,1.5,6.52,7469170
2,Nissan,Leaf,2022,40,270,0.5,6.75,2656000
3,Chevrolet,Bolt EV,2023,65,417,0.75,6.42,3071000
4,BMW,i3,2021,42,260,0.6,6.19,3693500
5,Ford,Mach-E,2023,88,491,1.2,5.58,5270500
6,Hyundai,Kona Electric,2022,64,482,1.1,7.53,3195500
7,Kia,EV6,2023,77,528,1.2,6.86,3901000
8,Volkswagen,ID.4,2023,82,520,1.3,6.34,3610500
9,Rivian,R1T,2023,135,505,2.0,3.74,6059000
10,Lucid,Air,2023,118,830,2.1,7.03,11537000
