Vehicle_ID,Brand,Model,Year,Battery_Capacity_kWh,Range_km,Charging_Time_hr,Price_USD,Efficiency_km_per_kWh
1,Tesla,Model S,2023,100,652,1.5,89990,6.52
2,Nissan,Leaf,2022,40,270,0.5,32000,6.75
3,Chevrolet,Bolt EV,2023,65,417,0.75,37000,6.42
4,BMW,i3,2021,42,260,0.6,44500,6.19
5,Ford,Mach-E,2023,88,491,1.2,63500,5.58
6,Hyundai,Kona Electric,2022,64,482,1.1,38500,7.53
7,Kia,EV6,2023,77,528,1.2,47000,6.86
8,Volkswagen,ID.4,2023,82,520,1.3,43500,6.34
9,Rivian,R1T,2023,135,505,2.0,73000,3.74
10,Lucid,Air,2023,118,830,2.1,139000,7.03
