
ROLL_NO,MARKS
4101,22
4102,17
4103,
4104,
4105,
4106,38
4107,36
4108,32
4109,27
4110,37
4111,
4112,17
4113,30
4114,17
4115,30
4116,
4117,
4118,
4119,26
4120,
4121,28
4122,33
4123,27
4124,
4125,
4126,35
4127,
4128,28
4129,21
4130,23
4131,26
4132,38
4133,24
4134,17
4135,22
4136,32
4137,26
4138,22
4139,28
4140,33
4141,26
4142,
4143,28
4144,29
4145,30
4146,16
4147,42
4148,23
4149,31
4150,32
4151,
4152,24
4153,35
4154,24
4155,26
4156,
4157,30
4158,24
4159,
4160,24
4161,
4162,
4163,19
4164,34
4165,26
4166,25
4167,25
168,35
4169,30
4170,25
4171,24
4172,27
4173,35
4174,
4175,23
4176,33
4177,32
4178,27
4179,37
4180,
4181,
4182,29
4183,48
4184,28
4185,28
4186,27
4187,
4188,31
4189,32
4190,26
4191,30
4192,22
4193,20
4194,28
4195,21
4196,28
4197,38
4198,28
4199,37
4200,22

